property_id,location,property_type,size_sqft,num_bedrooms,num_bathrooms,floor_number,total_floors,age_years,furnishing,amenities,distance_to_metro_km,view_score,date_listed,price
19,Pune,Apartment,3901,3,3,11,8,6,Unfurnished,"security,lift,pool,garden,clubhouse,gym",8.24,1,19-01-2020,45505000
20,Mumbai,Apartment,4693,5,4,26,28,10,Fully Furnished,"parking,garden",7.4,5,20-01-2020,129189000
21,Mumbai,Apartment,652,4,2,21,17,6,Unfurnished,"garden,parking,security,pool,lift,gym",0.55,4,21-01-2020,18936000
22,Pune,Apartment,1205,2,4,13,17,25,Semi-Furnished,"parking,gym,pool",1.99,4,22-01-2020,16059000
23,Bangalore,Apartment,2486,5,2,26,8,3,Semi-Furnished,"security,parking,pool",4.04,3,23-01-2020,42043000
24,Hyderabad,Apartment,4782,3,1,3,21,13,Unfurnished,"clubhouse,security",7.49,1,24-01-2020,49955000
25,Chennai,Apartment,2970,5,2,26,11,25,Unfurnished,"parking,clubhouse,security,garden",5.02,1,25-01-2020,34879000
26,Pune,Penthouse,2729,5,1,11,14,15,Semi-Furnished,"security,garden,gym,parking,clubhouse,pool,lift",0.44,2,26-01-2020,32326000
27,Chennai,Apartment,4926,2,1,12,6,20,Unfurnished,"pool,gym",5.74,1,27-01-2020,60872000
28,Pune,Apartment,2383,2,2,17,19,0,Unfurnished,parking,6.21,2,28-01-2020,26048000
29,Mumbai,Apartment,4145,3,3,8,9,26,Fully Furnished,parking,0.65,4,29-01-2020,111255000
30,Delhi NCR,Apartment,1751,1,1,12,12,4,Unfurnished,"lift,garden,clubhouse",9.22,4,30-01-2020,33919000
31,Mumbai,Apartment,3517,5,4,3,15,11,Fully Furnished,parking,2.61,2,31-01-2020,95557000
32,Bangalore,Apartment,4773,3,1,5,8,26,Unfurnished,"clubhouse,lift,pool,security,parking,gym,garden",4.85,1,01-02-2020,82157000
33,Hyderabad,Apartment,4791,3,1,22,30,11,Semi-Furnished,pool,3.01,2,02-02-2020,46536000
34,Pune,Penthouse,2908,3,4,22,13,3,Unfurnished,"lift,parking,clubhouse,gym,pool,security",0.37,2,03-02-2020,37505000
35,Pune,Penthouse,1224,5,1,28,25,2,Unfurnished,"pool,garden,gym,clubhouse,lift",7.3,5,04-02-2020,21502000
36,Pune,Apartment,1025,3,1,20,24,12,Fully Furnished,"lift,clubhouse,garden,parking,security",2.34,4,05-02-2020,18589000
37,Bangalore,Apartment,798,4,2,13,16,16,Fully Furnished,"pool,garden,parking,lift,security",7.54,4,06-02-2020,17373000
38,Delhi NCR,Apartment,4437,2,3,29,10,8,Fully Furnished,clubhouse,5.18,3,07-02-2020,84424000
39,Hyderabad,Apartment,4940,2,4,23,20,17,Semi-Furnished,"garden,parking,gym,pool,lift",6.38,1,08-02-2020,49541000
40,Chennai,Villa,3190,2,4,11,12,20,Unfurnished,"parking,garden,gym,security",1.01,4,09-02-2020,43804000
41,Bangalore,Apartment,2201,4,3,21,16,11,Semi-Furnished,"security,pool,parking,gym",3.99,1,10-02-2020,43490000
42,Pune,Villa,4549,5,4,29,38,7,Unfurnished,"security,pool,garden,gym,clubhouse,lift",7.08,2,11-02-2020,55847000
43,Mumbai,Apartment,1017,2,1,4,5,29,Unfurnished,"pool,clubhouse",0.98,3,12-02-2020,29178000
44,Hyderabad,Apartment,3468,5,2,25,17,13,Fully Furnished,"pool,garden,clubhouse,lift,security,parking,gym",7.03,4,13-02-2020,43025000
45,Chennai,Apartment,4795,2,1,25,17,24,Unfurnished,"lift,security,clubhouse",9.39,4,14-02-2020,62469000
46,Delhi NCR,Apartment,3677,5,2,13,27,11,Unfurnished,"parking,security",3.91,1,15-02-2020,71595000
47,Mumbai,Apartment,4420,5,3,3,28,24,Fully Furnished,"security,garden,clubhouse,pool,parking,gym,lift",0.16,1,16-02-2020,120085000
48,Hyderabad,Apartment,4242,5,3,5,39,23,Semi-Furnished,"garden,gym,security",8.55,4,17-02-2020,47714000
49,Chennai,Penthouse,4170,3,4,6,7,13,Unfurnished,"security,lift,parking,clubhouse",9.53,1,18-02-2020,57294000
50,Chennai,Apartment,2655,2,3,28,24,28,Fully Furnished,"lift,security,gym,garden,parking",6.31,5,19-02-2020,35670000
51,Chennai,Villa,1166,1,2,9,19,16,Fully Furnished,"lift,gym,garden,parking,security,pool,clubhouse",9.02,1,20-02-2020,14217000
52,Delhi NCR,Apartment,701,4,1,7,9,5,Fully Furnished,lift,4.61,2,21-02-2020,20064000
53,Chennai,Apartment,4149,3,4,18,33,23,Semi-Furnished,"garden,security",1.43,1,22-02-2020,53499000
54,Pune,Studio,4553,5,3,6,31,5,Unfurnished,"pool,garden,parking,gym,lift",0.33,3,23-02-2020,52405000
55,Hyderabad,Apartment,2671,2,1,10,25,20,Unfurnished,"gym,clubhouse,lift,security,garden,parking",2.95,1,24-02-2020,30489000
56,Hyderabad,Villa,2754,1,1,20,20,13,Fully Furnished,"lift,pool,security,garden,parking,gym",4.31,2,25-02-2020,28387000
57,Delhi NCR,Apartment,4607,4,4,4,6,3,Unfurnished,"gym,parking,clubhouse",9.12,3,26-02-2020,94602000
58,Pune,Apartment,3150,5,3,26,21,12,Fully Furnished,"gym,pool,parking",7.16,1,27-02-2020,40388000
59,Pune,Apartment,4281,5,1,3,13,2,Unfurnished,"garden,parking,security,pool,lift",9.68,3,28-02-2020,45652000
60,Delhi NCR,Apartment,4262,4,1,1,12,28,Unfurnished,"clubhouse,parking,gym,lift,pool,garden",1.18,3,29-02-2020,81540000
61,Hyderabad,Penthouse,4521,4,1,22,12,10,Unfurnished,"parking,pool,gym",9.2,1,01-03-2020,46547000
62,Chennai,Apartment,4112,1,4,21,15,11,Fully Furnished,pool,6.73,4,02-03-2020,58082000
63,Mumbai,Studio,601,1,2,14,39,29,Fully Furnished,lift,7.7,2,03-03-2020,19080000
64,Pune,Villa,2214,5,4,16,21,3,Semi-Furnished,"security,parking,garden,clubhouse,lift",5.18,5,04-03-2020,29477000
65,Hyderabad,Apartment,4099,2,2,27,9,3,Semi-Furnished,"garden,gym,lift",3.16,5,05-03-2020,43460000
66,Bangalore,Studio,4696,4,3,11,19,22,Unfurnished,"security,gym,parking,lift,pool,garden,clubhouse",0.76,5,06-03-2020,83153000
67,Hyderabad,Penthouse,410,5,3,27,33,17,Fully Furnished,"garden,gym,lift",7.95,5,07-03-2020,10965000
68,Chennai,Apartment,2421,5,2,22,9,14,Fully Furnished,"garden,parking,pool,lift",4.83,3,08-03-2020,30973000
69,Delhi NCR,Apartment,1520,4,2,26,14,16,Unfurnished,"parking,gym",3.43,4,09-03-2020,27183000
70,Bangalore,Apartment,2812,4,4,12,19,16,Unfurnished,clubhouse,7.61,4,10-03-2020,48767000
71,Chennai,Apartment,2822,4,1,15,26,17,Semi-Furnished,"lift,clubhouse,pool,gym",3.71,5,11-03-2020,35995000
72,Pune,Apartment,4439,2,3,9,29,14,Unfurnished,"gym,garden",3.65,3,12-03-2020,47889000
73,Mumbai,Apartment,1136,3,4,9,33,2,Semi-Furnished,"security,pool,parking,garden",7.17,4,13-03-2020,32978000
74,Bangalore,Apartment,3425,1,3,10,28,24,Semi-Furnished,"garden,gym,pool,lift,parking,clubhouse,security",9.37,2,14-03-2020,57873000
75,Pune,Penthouse,2854,4,2,17,19,14,Fully Furnished,"lift,gym,parking,clubhouse,pool,security",5.84,3,15-03-2020,36949000
76,Chennai,Apartment,2167,2,2,24,23,26,Fully Furnished,"lift,garden,parking,pool,security,gym",6.76,2,16-03-2020,30115000
77,Bangalore,Apartment,4868,1,4,26,10,29,Semi-Furnished,"garden,lift,security,gym",8.54,2,17-03-2020,79459000
78,Bangalore,Apartment,4625,4,2,6,21,24,Semi-Furnished,"clubhouse,gym,garden,security,lift",3.34,5,18-03-2020,74236000
79,Hyderabad,Apartment,2908,3,4,14,25,25,Semi-Furnished,"pool,gym,parking",7.44,4,19-03-2020,32720000
80,Pune,Apartment,2292,1,4,5,32,8,Fully Furnished,"parking,gym,pool",6.29,1,20-03-2020,31738000
81,Delhi NCR,Apartment,1443,3,1,16,13,4,Unfurnished,"security,gym,pool,parking,clubhouse,lift,garden",8.98,5,21-03-2020,31007000
82,Bangalore,Apartment,1509,3,1,12,30,18,Unfurnished,"lift,gym,clubhouse,garden",6.89,2,22-03-2020,33615000
83,Mumbai,Apartment,644,2,1,6,37,1,Unfurnished,lift,1.02,2,23-03-2020,16942000
84,Mumbai,Apartment,2192,3,2,18,16,1,Fully Furnished,"pool,lift,garden",3.45,3,24-03-2020,62803000
85,Hyderabad,Apartment,2020,1,3,2,15,29,Fully Furnished,"garden,gym",4.59,5,25-03-2020,22779000
86,Bangalore,Apartment,3015,3,3,3,39,5,Semi-Furnished,"parking,garden,lift,security,pool",3.23,1,26-03-2020,49997000
87,Hyderabad,Apartment,3005,3,1,22,23,24,Semi-Furnished,"pool,gym,lift,clubhouse",2.39,2,27-03-2020,30966000
88,Hyderabad,Apartment,1886,4,1,25,19,6,Unfurnished,"parking,pool,gym,security,clubhouse",7.85,2,28-03-2020,24730000
89,Hyderabad,Apartment,1682,2,3,17,16,26,Semi-Furnished,security,6.02,3,29-03-2020,19383000
90,Delhi NCR,Apartment,1041,5,2,1,16,28,Unfurnished,"lift,security",2.51,5,30-03-2020,29413000
91,Bangalore,Apartment,3725,1,1,14,20,20,Fully Furnished,"lift,pool,security,gym,parking,clubhouse,garden",5.76,2,31-03-2020,59430000
92,Bangalore,Apartment,4443,2,2,29,31,12,Fully Furnished,"pool,lift,clubhouse,gym,security",5.41,5,01-04-2020,73138000
93,Chennai,Apartment,1620,1,2,15,34,26,Fully Furnished,"security,garden,parking,pool",5.64,3,02-04-2020,23447000
94,Hyderabad,Apartment,1615,4,2,1,30,16,Unfurnished,"garden,pool,lift,clubhouse",5.4,2,03-04-2020,23485000
95,Hyderabad,Apartment,1329,2,3,15,21,27,Semi-Furnished,"pool,garden",7.81,1,04-04-2020,11398000
96,Hyderabad,Apartment,791,4,3,24,30,6,Unfurnished,"parking,gym,security,lift,pool",6.97,4,05-04-2020,10588000
97,Hyderabad,Villa,545,5,2,21,26,18,Semi-Furnished,"garden,parking,clubhouse,pool,security,gym",6.9,5,06-04-2020,6764000
98,Mumbai,Villa,3375,2,4,15,13,1,Semi-Furnished,"security,pool,gym,clubhouse,parking,garden,lift",8.43,1,07-04-2020,97133000
99,Bangalore,Studio,1574,2,3,5,39,18,Unfurnished,"gym,garden,lift,parking",1.87,5,08-04-2020,29963000
100,Hyderabad,Apartment,2694,4,4,28,22,9,Unfurnished,"clubhouse,parking,garden",2,1,09-04-2020,32380000
101,Bangalore,Apartment,2754,1,2,10,24,7,Semi-Furnished,"clubhouse,parking,garden,gym,pool",8.92,1,10-04-2020,41511000
102,Pune,Apartment,3805,4,3,8,27,14,Fully Furnished,"clubhouse,gym,garden,security,lift",7.66,4,11-04-2020,43901000
103,Hyderabad,Penthouse,4482,1,2,25,19,15,Fully Furnished,"pool,clubhouse,lift",8.34,4,12-04-2020,48634000
104,Bangalore,Villa,2005,4,3,13,9,0,Fully Furnished,"security,lift,parking",6.28,2,13-04-2020,32498000
105,Delhi NCR,Apartment,4007,5,1,7,39,17,Unfurnished,gym,3.78,4,14-04-2020,81767000
106,Chennai,Apartment,2194,3,1,13,38,23,Semi-Furnished,"parking,security,gym,lift,pool,garden",4.2,4,15-04-2020,31436000
107,Hyderabad,Apartment,716,4,4,3,5,20,Semi-Furnished,"security,gym,lift,parking",0.8,4,16-04-2020,12450000
108,Pune,Villa,4010,2,2,4,34,20,Fully Furnished,pool,1.94,2,17-04-2020,47771000
109,Hyderabad,Apartment,2434,4,4,27,28,29,Semi-Furnished,"clubhouse,gym,security,parking,lift,pool",6.27,1,18-04-2020,31070000
110,Bangalore,Apartment,4260,3,2,24,32,16,Semi-Furnished,"clubhouse,security,pool",9.1,3,19-04-2020,65995000
111,Delhi NCR,Apartment,1315,3,2,3,7,25,Fully Furnished,pool,6.24,5,20-04-2020,27037000
112,Mumbai,Villa,1740,5,2,14,13,26,Semi-Furnished,"security,lift,parking,pool,garden,gym,clubhouse",3.99,2,21-04-2020,50937000
113,Delhi NCR,Villa,4982,1,1,23,34,15,Semi-Furnished,"security,garden",7.92,1,22-04-2020,98280000
114,Mumbai,Apartment,4007,4,4,6,27,15,Semi-Furnished,"clubhouse,lift,gym,pool,parking,security",5.25,3,23-04-2020,107441000
115,Delhi NCR,Apartment,1843,1,1,3,8,18,Unfurnished,"lift,parking",1.82,3,24-04-2020,37716000
116,Hyderabad,Apartment,986,5,1,21,28,18,Fully Furnished,"clubhouse,parking,lift",9.03,1,25-04-2020,12053000
117,Mumbai,Apartment,797,1,1,11,23,17,Unfurnished,"lift,clubhouse,gym,security,parking,pool,garden",6.64,4,26-04-2020,29033000
118,Bangalore,Apartment,4292,3,1,15,34,5,Semi-Furnished,"gym,parking,lift,garden,pool",4.23,5,27-04-2020,67902000
119,Delhi NCR,Apartment,4532,4,1,8,5,14,Unfurnished,clubhouse,1.66,3,28-04-2020,86995000
120,Bangalore,Apartment,527,4,2,18,33,22,Semi-Furnished,"pool,lift,garden,security,gym,parking,clubhouse",0.11,5,29-04-2020,15172000
121,Mumbai,Villa,2699,4,1,22,29,10,Semi-Furnished,security,2.99,4,30-04-2020,74845000
122,Hyderabad,Apartment,2215,4,2,29,39,15,Unfurnished,"lift,parking,gym,garden",9.63,1,01-05-2020,20363000
123,Delhi NCR,Apartment,1757,2,3,24,19,16,Semi-Furnished,"gym,parking,clubhouse,garden,security",3.07,3,02-05-2020,32786000
124,Bangalore,Penthouse,4796,4,3,8,25,28,Semi-Furnished,"clubhouse,parking,gym",5.48,5,03-05-2020,82639000
125,Hyderabad,Apartment,4391,3,3,8,9,6,Unfurnished,"clubhouse,parking,security,pool,lift,garden",0.57,4,04-05-2020,53052000
126,Pune,Studio,1871,2,3,20,28,3,Fully Furnished,"garden,parking,clubhouse,lift,gym",6.55,2,05-05-2020,24665000
127,Delhi NCR,Penthouse,4286,4,2,7,22,29,Semi-Furnished,"security,lift,clubhouse,pool",7.24,1,06-05-2020,83011000
128,Pune,Apartment,2903,1,4,9,18,6,Unfurnished,"parking,security",8.36,3,07-05-2020,36754000
129,Bangalore,Penthouse,1629,5,4,6,10,22,Fully Furnished,"garden,clubhouse",6.35,1,08-05-2020,32159000
130,Pune,Studio,619,1,1,15,22,27,Semi-Furnished,"clubhouse,garden,pool,gym,parking,security,lift",5.13,1,09-05-2020,6206000
131,Pune,Apartment,3845,2,4,5,32,7,Unfurnished,"security,pool,parking",7.95,1,10-05-2020,44585000
132,Hyderabad,Apartment,1406,4,4,26,37,13,Semi-Furnished,"garden,parking,security,gym,clubhouse,pool,lift",6.34,5,11-05-2020,17636000
133,Pune,Penthouse,1069,1,1,16,24,10,Unfurnished,"gym,pool,lift,parking,garden",7.64,4,12-05-2020,11676000
134,Hyderabad,Apartment,4156,3,4,25,37,9,Semi-Furnished,"pool,parking",7.09,5,13-05-2020,47589000
135,Mumbai,Villa,3227,3,1,29,33,13,Semi-Furnished,"gym,security",8.84,2,14-05-2020,82166000
136,Delhi NCR,Apartment,3862,3,2,18,28,9,Fully Furnished,"security,clubhouse,gym",2.89,3,15-05-2020,80001000
137,Pune,Penthouse,2841,3,1,28,36,19,Unfurnished,"security,garden,pool,parking,clubhouse,lift",6.61,3,16-05-2020,32328000
138,Pune,Apartment,1846,3,2,14,24,24,Fully Furnished,clubhouse,5.66,1,17-05-2020,23205000
139,Pune,Apartment,4354,1,3,22,17,10,Semi-Furnished,"parking,clubhouse,garden",1.83,3,18-05-2020,51427000
140,Pune,Apartment,3940,3,4,7,11,13,Unfurnished,"clubhouse,pool,parking,lift,garden,gym,security",8.53,4,19-05-2020,51652000
141,Mumbai,Villa,1261,3,3,1,21,17,Semi-Furnished,"security,pool,lift,clubhouse,garden,parking,gym",0.46,1,20-05-2020,32581000
142,Mumbai,Apartment,3661,3,2,29,32,16,Semi-Furnished,"lift,clubhouse",4.14,1,21-05-2020,101766000
143,Bangalore,Penthouse,3491,2,3,4,8,16,Semi-Furnished,"garden,parking",3.51,3,22-05-2020,58734000
144,Mumbai,Apartment,1541,4,4,6,37,14,Unfurnished,"security,parking",6.5,1,23-05-2020,45266000
145,Mumbai,Villa,2031,1,2,15,5,14,Fully Furnished,"lift,parking,clubhouse,security,garden,pool",1.47,1,24-05-2020,55811000
146,Pune,Apartment,1497,2,3,21,25,1,Semi-Furnished,"lift,parking,pool,gym",4.14,5,25-05-2020,14025000
147,Chennai,Penthouse,4728,1,2,6,33,16,Unfurnished,"gym,security,clubhouse,parking,pool,garden",9.58,2,26-05-2020,60716000
148,Chennai,Villa,3832,1,3,2,38,22,Semi-Furnished,"clubhouse,pool,security,lift,garden",7.42,3,27-05-2020,48698000
149,Delhi NCR,Penthouse,2344,2,2,23,30,8,Semi-Furnished,"parking,clubhouse,garden,security,pool,lift,gym",7.58,1,28-05-2020,47744000
150,Delhi NCR,Apartment,3037,4,2,23,33,11,Semi-Furnished,"lift,gym,garden,parking",5.79,3,29-05-2020,60415000
151,Mumbai,Villa,4306,4,3,8,23,18,Fully Furnished,"pool,parking,security,clubhouse,lift,garden,gym",6.45,2,30-05-2020,118301000
152,Bangalore,Apartment,1292,5,2,13,33,14,Semi-Furnished,"garden,clubhouse,gym",3.89,4,31-05-2020,27894000
153,Mumbai,Apartment,2116,5,4,18,23,26,Semi-Furnished,"parking,garden",6.39,2,01-06-2020,62585000
154,Chennai,Apartment,3709,3,3,26,14,20,Semi-Furnished,"parking,security,clubhouse,lift",2,5,02-06-2020,49008000
155,Pune,Apartment,3228,4,4,28,33,19,Unfurnished,"clubhouse,lift",7.31,4,03-06-2020,45115000
156,Pune,Apartment,4859,3,1,11,14,5,Unfurnished,"garden,gym,pool,parking,lift",8.31,2,04-06-2020,62516000
157,Bangalore,Apartment,4291,1,3,24,8,18,Unfurnished,parking,3.77,2,05-06-2020,76136000
158,Chennai,Apartment,4238,3,3,5,13,18,Unfurnished,"clubhouse,garden,gym,parking,security",5,4,06-06-2020,49453000
159,Hyderabad,Apartment,3919,4,1,24,10,29,Fully Furnished,"parking,security,lift,clubhouse,gym,pool",3.1,3,07-06-2020,42291000
160,Bangalore,Apartment,2555,1,1,29,16,19,Semi-Furnished,"lift,parking,garden,clubhouse,gym,pool,security",2.86,4,08-06-2020,40851000
161,Delhi NCR,Apartment,4337,2,3,19,23,8,Fully Furnished,"security,gym,pool,parking,garden,lift",6.03,2,09-06-2020,89115000
162,Pune,Apartment,2545,5,1,27,34,26,Unfurnished,"parking,clubhouse,gym",5.47,4,10-06-2020,28602000
163,Hyderabad,Apartment,599,1,3,1,16,14,Semi-Furnished,"garden,gym,clubhouse,parking,lift,pool,security",8.3,3,11-06-2020,4153000
164,Bangalore,Villa,4211,2,3,5,29,11,Semi-Furnished,security,9.57,5,12-06-2020,73330000
165,Bangalore,Studio,1753,3,1,21,39,9,Fully Furnished,"garden,security,lift,pool",4.96,4,13-06-2020,32242000
166,Mumbai,Apartment,4482,2,4,13,20,2,Unfurnished,garden,3.51,3,14-06-2020,117827000
167,Bangalore,Apartment,3890,3,2,28,38,18,Semi-Furnished,"lift,gym,pool,garden,parking",5.35,3,15-06-2020,64576000
168,Hyderabad,Apartment,825,3,2,25,27,20,Semi-Furnished,"pool,garden,parking,lift,gym",8.64,3,16-06-2020,8652000
169,Bangalore,Apartment,2768,1,3,7,5,12,Semi-Furnished,"pool,clubhouse",5.14,3,17-06-2020,49916000
170,Mumbai,Apartment,2551,5,1,20,33,23,Unfurnished,"clubhouse,parking,security,lift,garden",4.43,1,18-06-2020,68194000
171,Delhi NCR,Apartment,1800,4,1,9,35,13,Semi-Furnished,"pool,lift,parking",5.75,2,19-06-2020,35966000
172,Bangalore,Apartment,1186,3,2,13,22,17,Semi-Furnished,"security,pool,parking",4.66,3,20-06-2020,21719000
173,Chennai,Apartment,2108,3,2,26,18,13,Fully Furnished,"parking,security,lift,garden",4.63,2,21-06-2020,27110000
174,Delhi NCR,Apartment,3761,3,3,15,5,7,Unfurnished,"lift,gym,security",3.43,1,22-06-2020,76506000
175,Chennai,Apartment,4197,3,3,15,20,5,Semi-Furnished,"garden,security,parking,gym,pool,lift",2.37,4,23-06-2020,57689000
176,Chennai,Villa,3461,3,4,18,11,8,Fully Furnished,"parking,lift",2.27,2,24-06-2020,49533000
177,Delhi NCR,Apartment,3857,1,3,21,17,20,Semi-Furnished,"pool,parking,security,lift,garden,clubhouse,gym",2.26,1,25-06-2020,75350000
178,Bangalore,Villa,4266,3,1,28,20,17,Fully Furnished,"security,gym,lift,parking,clubhouse",3.77,1,26-06-2020,69716000
179,Hyderabad,Villa,4955,4,4,4,15,7,Semi-Furnished,"parking,gym,garden,security,clubhouse",9.44,4,27-06-2020,54296000
180,Chennai,Apartment,1245,2,2,8,24,6,Semi-Furnished,"pool,gym",5.16,4,28-06-2020,20796000
181,Hyderabad,Studio,3312,3,4,27,34,9,Fully Furnished,"garden,parking",8.05,2,29-06-2020,35245000
182,Bangalore,Apartment,1899,4,3,16,16,3,Fully Furnished,"lift,security,pool",4,2,30-06-2020,38832000
183,Bangalore,Villa,4907,5,1,26,38,3,Semi-Furnished,"gym,lift",2.28,1,01-07-2020,78872000
184,Hyderabad,Apartment,1380,4,4,23,33,1,Unfurnished,"parking,pool,lift,gym,clubhouse,security,garden",8.21,2,02-07-2020,20807000
185,Hyderabad,Penthouse,4949,5,3,2,11,26,Unfurnished,"security,gym,lift",6.01,1,03-07-2020,51586000
186,Chennai,Studio,1196,2,1,13,19,16,Semi-Furnished,"lift,gym,pool,garden,security",0.58,2,04-07-2020,14996000
187,Pune,Apartment,4859,3,4,16,7,9,Fully Furnished,"lift,clubhouse,parking,pool,security,garden",9.73,2,05-07-2020,59449000
188,Mumbai,Villa,3502,1,2,25,10,6,Fully Furnished,"clubhouse,gym",6.02,1,06-07-2020,93342000
189,Hyderabad,Apartment,2301,5,3,19,17,17,Fully Furnished,"clubhouse,parking,garden",1.64,2,07-07-2020,26466000
190,Chennai,Studio,4336,2,3,21,25,24,Fully Furnished,"lift,gym,pool,clubhouse,garden,security,parking",3.52,4,08-07-2020,58057000
191,Hyderabad,Apartment,1207,2,2,23,31,13,Semi-Furnished,"pool,clubhouse,parking,gym,garden,lift,security",6.09,2,09-07-2020,17200000
192,Delhi NCR,Apartment,1966,4,1,28,16,6,Unfurnished,"clubhouse,garden",3.65,3,10-07-2020,40498000
193,Chennai,Apartment,3270,1,2,15,18,19,Unfurnished,"gym,pool",0.63,1,11-07-2020,41477000
194,Chennai,Villa,1060,2,2,29,29,21,Unfurnished,"parking,security,clubhouse",2.78,3,12-07-2020,19913000
195,Hyderabad,Apartment,645,2,3,18,22,2,Unfurnished,lift,6.32,3,13-07-2020,12511000
196,Bangalore,Villa,681,5,3,16,29,26,Semi-Furnished,"lift,parking,security,pool,clubhouse,gym,garden",1.7,5,14-07-2020,17666000
197,Hyderabad,Studio,4131,5,4,8,10,25,Unfurnished,"gym,security",6.99,1,15-07-2020,42629000
198,Bangalore,Apartment,1310,2,3,14,6,25,Semi-Furnished,"clubhouse,gym,security,pool,parking,garden,lift",8.81,1,16-07-2020,21239000
199,Hyderabad,Studio,1546,4,1,18,23,29,Semi-Furnished,"garden,parking,clubhouse,pool",2.58,1,17-07-2020,20234000
200,Hyderabad,Apartment,2407,3,2,28,30,11,Fully Furnished,"clubhouse,pool,security",9.37,2,18-07-2020,28315000
201,Hyderabad,Apartment,1200,5,4,20,17,8,Semi-Furnished,"lift,clubhouse,security",9.99,4,19-07-2020,18908000
202,Delhi NCR,Penthouse,4257,1,4,6,28,6,Fully Furnished,"security,garden,pool",5.81,4,20-07-2020,84490000
203,Hyderabad,Villa,3557,5,1,1,37,11,Unfurnished,"garden,pool,clubhouse,lift",2.27,2,21-07-2020,35226000
204,Mumbai,Apartment,3046,4,2,27,38,5,Fully Furnished,"pool,gym,parking,lift,clubhouse,security",2.18,3,22-07-2020,82178000
205,Mumbai,Apartment,1581,2,3,26,9,15,Unfurnished,"security,parking,pool,lift,clubhouse,garden",6.98,2,23-07-2020,46337000
206,Pune,Villa,2706,2,1,6,27,2,Unfurnished,"pool,parking,gym",1.2,3,24-07-2020,32661000
207,Pune,Villa,4043,5,3,18,25,15,Semi-Furnished,parking,7.92,4,25-07-2020,46853000
208,Delhi NCR,Penthouse,3192,1,4,6,26,2,Fully Furnished,"lift,parking,gym,garden,security,clubhouse",4.5,5,26-07-2020,61979000
209,Mumbai,Apartment,4904,2,3,6,23,15,Semi-Furnished,"gym,clubhouse",5.59,1,27-07-2020,132157000
210,Mumbai,Apartment,3368,4,2,6,36,15,Unfurnished,gym,4.86,5,28-07-2020,90155000
211,Pune,Apartment,4473,3,4,19,36,2,Unfurnished,"lift,pool,security,clubhouse,gym,garden,parking",0.71,2,29-07-2020,52475000
212,Bangalore,Apartment,699,3,1,23,25,6,Fully Furnished,lift,8.38,5,30-07-2020,17897000
213,Chennai,Apartment,4742,1,3,2,6,14,Fully Furnished,"lift,gym,security,pool",5.75,3,31-07-2020,60729000
214,Delhi NCR,Villa,2025,1,4,2,23,27,Unfurnished,"lift,clubhouse,gym",9.52,1,01-08-2020,45068000
